date,venture,category,revenue,expenses,customers,nps_score,churn_rate
2025-10-01,DataBooth,AI Tools,2450,890,45,72,2.1
2025-10-01,HeadVroom,Productivity,1820,650,32,68,3.2
2025-10-01,DutyCall,Communication,3200,1100,78,81,1.5
2025-10-01,Connie,Nonprofit Tech,890,420,15,85,0.8
2025-10-15,DataBooth,AI Tools,3100,920,58,74,1.9
2025-10-15,HeadVroom,Productivity,2100,680,41,71,2.8
2025-10-15,DutyCall,Communication,3650,1150,92,79,1.7
2025-10-15,Connie,Nonprofit Tech,1200,450,22,88,0.5
2025-11-01,DataBooth,AI Tools,4200,1050,82,78,1.4
2025-11-01,HeadVroom,Productivity,2450,710,53,73,2.5
2025-11-01,DutyCall,Communication,4100,1200,108,82,1.3
2025-11-01,Connie,Nonprofit Tech,1650,480,31,91,0.3
2025-11-15,DataBooth,AI Tools,5800,1180,115,81,1.1
2025-11-15,HeadVroom,Productivity,2900,750,68,76,2.1
2025-11-15,DutyCall,Communication,4800,1280,132,84,1.0
2025-11-15,Connie,Nonprofit Tech,2100,510,42,93,0.2
2025-11-29,DataBooth,AI Tools,7500,1320,156,85,0.8
2025-11-29,HeadVroom,Productivity,3400,790,85,79,1.8
2025-11-29,DutyCall,Communication,5500,1350,158,86,0.9
2025-11-29,Connie,Nonprofit Tech,2800,540,58,95,0.1
